column,unit,origin,meaning,sentinel2_relation
soil_layer_50_60_paw_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_50_60_depletion_from_fc_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_50_60_paw_fraction_wp_fc,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_50_60_root_uptake_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_layer_50_60_evaporation_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_60_80_stock_start_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_60_80_stock_end_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_60_80_stock_change_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_60_80_theta_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_60_80_theta_fc_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_60_80_theta_wp_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_60_80_theta_sat_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_60_80_theta_mg_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_60_80_paw_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_60_80_depletion_from_fc_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_60_80_paw_fraction_wp_fc,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_60_80_root_uptake_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_layer_60_80_evaporation_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_80_100_stock_start_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_80_100_stock_end_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_80_100_stock_change_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_80_100_theta_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_80_100_theta_fc_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_80_100_theta_wp_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_80_100_theta_sat_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_80_100_theta_mg_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_80_100_paw_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_80_100_depletion_from_fc_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_80_100_paw_fraction_wp_fc,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_80_100_root_uptake_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_layer_80_100_evaporation_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
canopy_cover_fraction_derived,доля 0–1,производный,Проективное покрытие по DB-якорям культуры и GDD/DAS.,"наивысшая: FCover, NDVI, WDVI, SAVI"
canopy_open_fraction_derived,доля 0–1,производный,Открытая доля поверхности: 1 − canopy cover.,высокая: bare-soil fraction
model_water_stress_index_1_minus_ks,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
actual_to_potential_et_ratio,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
actual_to_potential_transpiration_ratio,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
transpiration_fraction_of_actual_et,доля,производный,Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
evaporation_fraction_of_actual_et,доля,производный,Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
evapotranspiration_deficit_mm,доля,производный,Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
precipitation_raw_mm_cumulative_from_export_start,мм,прямой факт/атрибут КОРНИКС,"Суточные осадки: raw — вход метода, effective — вошедшая в баланс часть.",причинная: отклик почвы/полога
precipitation_effective_mm_cumulative_from_export_start,мм,прямой факт/атрибут КОРНИКС,"Суточные осадки: raw — вход метода, effective — вошедшая в баланс часть.",причинная: отклик почвы/полога
irrigation_raw_mm_cumulative_from_export_start,мм,прямой факт/атрибут КОРНИКС,"Суточный полив: raw — учёт/задание, effective — поступление в почву.",причинная: отклик почвы/ET
irrigation_effective_mm_cumulative_from_export_start,мм,прямой факт/атрибут КОРНИКС,"Суточный полив: raw — учёт/задание, effective — поступление в почву.",причинная: отклик почвы/ET
actual_evapotranspiration_mm_cumulative_from_export_start,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
actual_transpiration_mm_cumulative_from_export_start,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
actual_soil_evaporation_mm_cumulative_from_export_start,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
deep_drainage_below_profile_mm_cumulative_from_export_start,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
